,Title,Authors,Link,Abstract,Keywords
0,بررسی رونق و رکود اقتصادی سالهای 1390 و 1395 براساس ضرایب سرمایه‌ای در مدل داده ستانده پویای ملّی,"['نعمت الله  اکبری', 'مریم  امینی']",https://jte.ut.ac.ir/article_96840_635452a9e7050545e641d760811a3f1e.pdf,یکی از روش‌های مرسوم برای بررسی رونق و رکود اقتصادی استفاده از ماتریس سرمایه بین‌ بخشی است. این ماتریس یکی از اجزای مهم جدول داده ستانده پویای ملّی محسوب می‌شود، امّا به‌دلیل در دسترس نبودن ماتریس سرمایه در سطح ملّی، در عمل، امکان این دسته تحلیل‌ها وجود ندارد، لذا پژوهش حاضر به کمک داده‌های در دسترس و با ارائه برخی مفروضات ساده‌کننده ناشی از عدم وجود داده آماری، ماتریس سرمایه بین بخشی را استخراج کرده است. هدف پژوهش حاضر بررسی رونق و رکود اقتصادی به کمک ماتریس سرمایه بین‌ بخشی می‌باشد، از این‌رو جداول داده ستانده پویای سال‌های 1390 و 1395 از درون جداول داده ستانده ایستای همین سال‌ها استخراج شده است. نتایج نشان می‌دهد که در هر دو سال شاهد رونق اقتصادی بوده‌ایم.,"['تحلیل پویا', 'سرمایه', 'مدل داده ستانده']"
1,اثر سیاست پولی بر پایداری اقتصاد کلان در ایران در مدل های نوکینزی رفتاری و متعارف,"['مهسا  باقرزاده', 'زهرا  افشاری', 'حسین  توکلیان']",https://jte.ut.ac.ir/article_95996_d9383cecd7cfda3956f68e34553ccf27.pdf,در این مقاله، با تخمین چندین مدل نوکینزی(NK)  با ویژگی‌های رفتاری با فرض عقلانیت محدود با لحاظ کردن یادگیری عامل‌ها و برنامه‌ریزی افق زمانی محدود، به ارزیابی توانمندی این مدل‌ها در مقایسه با مدل نوکینزی متعارف در پیش‌بینی آثار شوک سیاست پولی پرداخته شده است. نتایج حاصل از برآورد مدل‌ها در چهارچوب الگوی تعادل عمومی پویای تصادفی با رویکرد بیزی با استفاده از داده‌های فصلی اقتصاد ایران طی سال‌های 1367:2-4:1401 نشان داده است که اولاً، مدل نوکینزی که در آن بخش قابل ‌توجهی از کارگزاران افق زمانی محدود دارند سازگاری بیشتری با داده‌های اقتصاد ایران دارد. ثانیاً، در اثر وقوع شوک پولی، مدل‌های افق زمانی محدود در مقایسه با مدل نوکینزی متعارف به‌دلیل یادگیری آهسته عامل‌ها از تجربیات گذشته، نوسانات کمتر و ماندگاری بیشتری دارند، بنابراین واکنش بانک مرکزی به نوسانات تولید و تورم در مدل‌های با افق زمانی محدود در مقایسه با مدل کینزی متعارف، کمتر تهاجمی می‌باشد. نتایج دلالت بر این دارد که وارد کردن عقلانیت محدود و برنامه‌ریزی افق زمانی محدود، توانایی پیش‌بینی اثر شوک‌های سیاست پولی در اقتصاد ایران را بهبود می‌دهد.,"['افق زمانی محدود', 'مدل نوکینزی', 'برآورد بیزی', 'یادگیری', 'سیاست پولی']"
2,بررسی عوامل مؤثر بر قتل با تأکید بر متغیرهای اقتصادی و برابری جنسیتی,"['مرضیه  شاکری حسین آباد', 'زهرا  نصراللهی']",https://jte.ut.ac.ir/article_96841_2bf0543c5d1e1e1cd27b7875f260cde5.pdf,نابرابری جنسیتی به‌واسطه دسترسی نابرابر زنان و مردان به امکانات و فرصت‌های موجود در جامعه، تبعات مختلفی را به همراه دارد. از جمله تبعات منفی نابرابری این است که احتمال مواجهه افراد تحت نابرابری با خشونت در جامعه را افزایش می‌دهد، چراکه از یک سو، به‌طور معمول افراد تحت نابرابری به دلیل باورهای نادرست، از جمله بی‌ارزش بودن، اعتماد به نفس لازم در مواجهه با تهدیدهای موجود در جامعه را ندارند و از سوی دیگر، این باورهای غلط در سطح جامعه، اعمال خشونت نسبت به افراد تحت نابرابری را آسان می‌کند. در این پژوهش ضمن تشریح دلایل مطرح شده در ادبیات موجود در این زمینه، به بررسی تأثیر وضعیت مطلق زنان در بعد آموزش، نقش موقعیت نسبی آن‌ها در ابعاد آموزش و بازار کار (با تعبیر برابری جنسیتی) بر قتل پرداخته شده است. بدین منظور از داده‌های استان‌های ایران طی سال‌های 1395 تا 1399 و رویکرد داده‌های تابلویی استفاده می‌شود. یافته‌های این مطالعه حاکی از آن است که با بهبود وضعیت مطلق زنان در بخش آموزش، میزان قتل کاهش می‌یابد. هم‌چنین، برابری زنان و مردان از منظر مشارکت در بازار کار و دستیابی به موقعیت‌های شغلی، منجر به کاهش قتل در استان‌ها شده است. یافته‌های این مطالعه نشان می‌دهد که امکان تعدیل آسیب اجتماعی قتل با توجه بیشتر به جایگاه زنان در جامعه وجود دارد که می‌تواند مورد توجه سیاست‌گذاران قرار گیرد.,"['آموزش', 'استان\u200cهای ایران', 'بازار کار', 'برابری جنسیتی', 'قتل']"
3,در جست و جوی شادمانی: ساختار شادمانی براساس عوامل اقتصادی و غیراقتصادی,"['طه  شیشه گری', 'فرهاد  غفاری']",https://jte.ut.ac.ir/article_96843_242755ada3647472facfdc425804365e.pdf,اتکا به مطلوبیت عینی و اندازه‌گیری میزان شادمانی و رضایت فرد بر اساس انتخاب‌های وی، مربوط به انسان اقتصادی و تعریف محدودی از انسان می‌باشد که سال‌ها توسط تئوری‌های مرسوم در اقتصاد به‌عنوان پیش فرض در خصوص انسان‌ها مورد پذیرش قرار گرفته است. مطالعات گوناگون نشان‌دهنده انحراف واقعیت و داده‌های تجربی از پیش‌بینی تئوری‌های استاندارد در زمینه شادمانی می‌باشد، بنابراین اتکا به مطلوبیت عینی به تنهایی ما را به درک درستی از شادمانی و رضایت خاطر افراد نمی‌رساند. در این پژوهش ساختاری برای شادمانی معرفی می‌شود تا علاوه بر در نظر گرفتن وجوه اقتصادی، تأثیر زمینه‌های دیگر نیز روی دریافت افراد از شادمانی یا مطلوبیت ذهنی مشخص گردد. در حقیقت در این مطالعه براساس نگرش اقتصاد رفتاری، بازنگری دوباره به مطلوبیت و شادمانی داشته و براساس داده‌های جمع‌آوری شده از 192 دانشجو در مقاطع مختلف، به تأیید ساختاری برای شادمانی پرداخته شده که در این ساختار شادمانی از سلامت روان انسان‌ها استفاده شده است و مشخص شده که سلامت اقتصادی، سلامت اجتماعی و سلامت فیزیکی نیز بر روی سلامت روان افراد مؤثر بوده است. در حقیقت این مطالعه یک پژوهش میان رشته‌ای می‌باشد که در آن به‌دنبال گسترش تئوری‌های مرسوم اقتصادی از طریق جایگزینی انسان واقعی به‌جای انسان اقتصادی و تکیه بر ویژگی‌های روانشناختی وی خواهیم بود. نتایج این پژوهش نشان می‌دهد که منشأ شادمانی افراد، سلامت روان آنها می‌باشد و در سلامت روان، مهم‌ترین تأثیر به‌ترتیب مربوط به سلامت فیزیکی، سلامت اجتماعی و سپس سلامت اقتصادی می‌باشد. در حقیقت درآمد یا عوامل اقتصادی که از دیدگاه اقتصاد مرسوم عامل اصلی کسب مطلوبیت و شادمانی افراد است، تنها یکی از عوامل تعیین‌کننده سلامت روان می‌باشد که شادمانی از آن نشأت می‌گیرد.,"['اقتصاد رفتاری', 'شادمانی', 'متغیرهای اقتصادی', 'متغیرهای غیراقتصادی', 'مدل معادلات ساختاری']"
4,بررسی تاثیر نرخ ارز بر رفتار رمه‌ای در بورس اوراق بهادار تهران: کاربردی از رویکرد FAVAR,"['الهام  محمدی', 'سجاد  برخورداری', 'محسن  مهرآرا']",https://jte.ut.ac.ir/article_96845_cf298b99adc3c16e6614a727baa9aec2.pdf,در یک دهه اخیر، شاهد دو بحران بزرگ در بازار ارز ایران بوده‌ایم و پول ملی طی این مدت کاهش ارزش زیادی را تجربه کرده است. مشاهده دیگری که طی این دوره وجود دارد، افزایش رفتار رمه‌ای در بازار سهام است. همزمانی این دو پدیده این سؤال را به ذهن متبادر می‌کند که آیا نرخ ارز می‌تواند عامل شکل‌گیری رفتار رمه‌ای در بازار سهام باشد؟ در این مطالعه تلاش شده است تا با استفاده از یک رویکرد مدل‌سازی جامع مبتنی بر FAVAR، پاسخ مناسبی به این پرسش ارائه شود. در جهت دستیابی به این هدف، از داده‌های فصلی 62 متغیر اقتصادی ایران و جهان در بازه سال‌های 1380 تا 1400 استفاده شده است؛ همچنین از آنجایی که رفتار رمه‌ای یک متغیر غیرقابل مشاهده است، در مرحله اول، با استفاده از روش پیشنهادی هوانگ و سالمون (2004)، این متغیر کمی‌سازی شده و سپس در مرحله دوم در قالب مدل FAVAR به بررسی تأثیر نرخ ارز بر این متغیر پرداخته شده است. نتایج حاصل از این تحقیق نشان می‌دهد که رفتار رمه‌ای در دهه اخیر در بازار سهام تشدید شده و در سال 1398 و 1399 به اوج خود رسیده است. همچنین نتایج حاصل از توابع واکنش آنی و تجزیه واریانس نشان می‌دهد که نرخ ارز در نوع خود سهم به نسبت بالایی در توضیح واریانس خطای پیش‌بینی داشته و برای چندین دوره به شکل معنی‌داری منجر به شکل‌گیری و افزایش رفتار رمه‌ای در بازار سهام شده است. تحلیل حساسیت در مورد تعداد عامل‌های مدل حاکی از استحکام نتایج بوده و به تأثیر مثبت نرخ ارز بر رفتار رمه‌ای بازار سهام تأکید دارد.,"['بازار سهام', 'رفتار رمه\u200cای', 'رویکرد FAVAR', 'نرخ ارز']"
5,تأثیر همه‌گیری کووید-19 بر عرضه نیروی کار زنان در ایران,"['زهرا  یوسف زاده روشن', 'علی  جدیدزاده', 'هما  اصفهانیان']",https://jte.ut.ac.ir/article_96847_03674636d8165ca5bca614e7643dd69f.pdf,مشارکت زنان در بازار کار نقشی اساسی در شکل‌دهی به توسعه اقتصادی و تقویت پیشرفت اجتماعی دارد از سویی همه‌گیری کووید-19 چالش‌های بی‌سابقه‌ای را برای مشارکت زنان در بازار نیروی کار ایجاد کرده است. در این مقاله تأثیر همه‌گیری کووید-19 بر عرضه نیروی کار زنان در ایران بررسی شده است. بدین منظور از داده‌های پرسشنامه نیروی کار مرکز آمار، از سال 1397 تا 1400 و مدل‌های حداقل مربعات معمولی و لاجیت برای ارزیابی تأثیرات نامتناسب رکود ناشی از همه‌گیری ویروس کرونا بر زمان جستجوی کار و احتمال اشتغال زنان استفاده می‌شود. نتایج نشان می‌دهد که زنان در زمان همه‌گیری ویروس کرونا در مقایسه با دوران پیش از آن زمان بیشتری را نسبت به مردان، به جستجو برای شغل متناسب خود اختصاص داده‌اند. همچنین احتمال اشتغال زنان در زمان همه‌گیری کووید 19 نسبت به مردان در مقایسه با دو سال قبل از این همه‌گیری، کاهش یافته است.,"['اشتغال زنان', 'کووید-19', 'نیروی کار']"
6,سنجش شکاف اعتباری در ایران: رویکرد نیمه‌ساختاری,"['علی  افضلی', 'علی  طیب نیا', 'محسن  مهرآرا']",https://jte.ut.ac.ir/article_95946_77e00450cb070fdc569e350be432cf3a.pdf,"در پاسخ به نقدهای وارد شده به روش‌های صرفاً آماری، در این مقاله بر اساس رویکرد نیمه‌ساختاری، شکاف اعتباری در اقتصاد ایران برای سال‌های 1373 تا 1398 محاسبه شده است. بدین منظور روند اعتبار بر پایه یک مدل همپوشانی نسلی به‌صورت تابعی از تولید بالقوه، نرخ بهره طبیعی، کیفیت نهادی و نسبت جمعیت جوان تصریح و سپس در قالب یک سیستم فضا-حالت روند و شکاف اعتباری تخمین زده شده است. نتایج نشان می‌دهد که در فاصله سال‌های 1383 تا 1387 و 1394 تا 1397 شکاف اعتباری مثبت قابل توجهی وجود دارد. به نظر می‌آید ریشه ایجاد رشد مازاد اعتباری در این دو دوره با یکدیگر متفاوت است. در بخشی از مطالعه با تجزیه اثرات، میزان تأثیر تغییرات هر یک از عوامل بر ایجاد شکاف اعتباری در بازه‌های مختلف محاسبه شده است. هم‌چنین بررسی بحران‌های مالی در ایران نشان داده است که شکاف اعتباری محاسبه شده، قدرت خوبی در پیش‌بینی بحران‌ها دارد.طبقه بندی JEL: G21, E58, C32","['بحران مالی', 'تسهیلات بانکی', 'فضا-حالت', 'نیمه\u200cساختاری']"
7,تاثیر آموزش مجازی بر عملکرد تحصیلی دانشجویان در دوران همه‌گیری ویروس کرونا: مطالعه موردی دانشجویان اقتصاد، دانشگاه تهران,"['فرزاد  جعفری\u200cاقدم', 'علی  جدیدزاده', 'سید مهدی  ناجی اصفهانی', 'ساجده  پورتقی راستگو مقدم']",https://jte.ut.ac.ir/article_95020_839690f59259be32c70d3329e0e25e34.pdf,این مقاله تأثیر آموزش مجازی بر عملکرد تحصیلی دانشجویان در دوره همه‌گیری ویروس کووید-19 را بررسی می‌کند. با استفاده از سه معیار معدل، رفتار اخذ واحد و حذف دروس توسط دانشجویان، میزان تأثیر آموزش مجازی با استفاده از روش‌ رگرسیون داده‌های تابلویی بررسی می‌شود. نمونه مورد مطالعه این پژوهش شامل 281 نفر از دانشجویان مقطع کارشناسی و 279 نفر از دانشجویان مقطع کارشناسی‌ارشد از سال 1395 تا 1399 (نیمسال‌های تحصیلی 1-95 تا 2-99) در رشته اقتصاد دانشگاه تهران است. افزون بر اطلاعات تحصیلی دانشجویان، داده‌ها شامل ویژگی‌های فردی دانشجویان از جمله جنسیت، بومی یا غیربومی بودن، نوع سهمیه تحصیلی آن‌ها نیز می‌باشد. نتایج این مطالعه نشان می‌دهد که متوسط تعداد واحدهای اخذ شده، تغییر معنی‌داری پیش و پس از مجازی شدن آموزش نشان نمی‌دهد، این در حالی است که متغیرهای دیگر مثل تعداد دروس رد یا حذف شده به میزان زیادی تحت تأثیر این تغییر در سبک آموزش بوده‌اند. همچنین با مجازی شدن آموزش معدل دانشجویان در هر دو مقطع افزایش یافته که این افزایش در دانشجویان مقطع کارشناسی بیشتر است.طبقه‌بندی JEL:I21؛ I23؛ I24.,"['اقتصاد آموزش', 'آموزش مجازی', 'کووید-19', 'مدل\u200cهای پنل']"
8,ارزیابی مفهوم انباشت نیروی کار و بررسی وجود احتمالی این پدیده در اقتصاد ایران,"['رها  حمزه لوئیان', 'هما  اصفهانیان', 'میلاد  اورعی']",https://jte.ut.ac.ir/article_95947_91e76518bb435cdd733aa9336827ce1e.pdf,"بیکاری پنهان و مازاد نیروی کار از جمله اشکال مختلف بیکاری بوده که به‌طور مستقیم با بهره‌وری نیروی کار مرتبط هستند. شناخت و درک درست نسبت به حالات متفاوت بیکاری نقش به‌سزایی در کارآمدی سیاست‌های اشتغال‌زای دولت خواهد داشت. در این مقاله ابتدا تلاش شده است که با ارائه تعاریفی جامع و کامل، درک درستی نسبت به این دو پدیدۀ اقتصادی ایجاد شود و سپس وجود این پدیده‌ها در صنایع کارخانه‌ای ایران مورد بررسی قرار گیرد. در بخش کلان با به‌کارگیری فیلتر هدریک ‌- پرسکات، شواهدی مبنی بر وجود این پدیده در اقتصاد ایران در بازۀ زمانی 1393-1376 مورد بررسی قرار گرفته است و نتایج این پژوهش نشان می‌دهد که هر دو پدیدۀ بیکاری پنهان و مازاد نیروی کار در کشور ایران در هر دو دورۀ رونق و رکود وجود دارد.
طبقه‌بندی JEL:
J21، J24، C13","['اشتغال', 'بهره\u200cوری نیروی کار', 'بیکاری پنهان', 'مازاد نیروی کار']"
9,اثرات نامتقارن نرخ ارز بر انتظارات تورمی در اقتصاد هدف‌گذاری تورمی ایران,"['حامد  خضرزادگان', 'حسن  حیدری']",https://jte.ut.ac.ir/article_95949_560f3711fff041cf51cd8982560c98a3.pdf,"عبور نرخ ارز و پیامدهای آن برای جنبه‌های گوناگون اقتصاد کلان و ثبات قیمت از موضوعات بحث‌ برانگیز و قدیمی می‌باشد. در این بحث، موضوعی که مورد توجه و بررسی قرار نگرفته این است که آیا انتظارات تورمی به‌عنوان کانالی برای عبور نرخ ارز تحت رژیم هدف‌گذاری تورم عمل می‌کند یا خیر. در این مطالعه پیامدهای عبور نرخ ارز و سایر عوامل تعیین‌کننده تورم برای انتظارات تورمی مورد تجزیه‌وتحلیل قرار گرفته است. به‌عنوان یک چارچوب تجربی تحلیل و برای استنباط و نتیجه‌گیری، از مدل غیرخطی خود رگرسیونی با وقفه توزیعی (NARDL) با به‌کارگیری داده‌های ماهانه برای دوره 1402:M1- 1399:M1   استفاده شده است. نتایج نشان می‌دهد که کاهش نرخ ارز سطح قیمت‌های انتظاری را افزایش داده، درحالی‌که افزایش نرخ ارز آن را کاهش می‌دهد. تورم نیز خود تأثیر قابل ملاحظه‌ای بر انتظارت تورمی دارد، به این معنی که می‌تواند در دوره‌های ثبات قیمت به تثبیت و کاهش انتظارت تورمی کمک کند. سایر عوامل تعیین‌کننده انتظارات تورمی از جمله عرضه پول و کسری بودجه نیز تأثیر قابل‌توجهی را نشان می‌دهند.
طبقه‌بندی JEL:
C12, C13, E31, E52, E58, E61, E62","['انتظارات تورمی', 'عبور نرخ ارز', 'هدف\u200cگذاری تورم', 'NARDL']"
